empresa_id,rubro,anio,mes,mes_inicio,ingresos_15,gastos_fijos_15,gastos_variables_15,gastos_totales_15,ventas_15,activos_corrientes_15,pasivos_corrientes_15,margen_ganancia_15,liquidez_corriente_15,riesgo_15,prob_riesgo_15,ingresos_mes,gastos_fijos_mes,gastos_variables_mes,gastos_totales_mes,ventas_mes,activos_corrientes_mes,pasivos_corrientes_mes,utilidad_mes,margen_ganancia_mes,liquidez_corriente_mes,riesgo_fin_mes,prob_riesgo_fin_mes,mes_bueno,es_sintetico,riesgo_original_dataset
REAL_001,Desconocido,2024,1,2024-01-01,4110.7,2695.29,1154.75,3850.04,79,17612.37,10820.98,0.06341,1.627613,MEDIO,0.4811,6215.0,4118.0,1794.0,5912.0,118,18489.0,10507.0,303.0,0.048753,1.759684,MEDIO,0.4576,1,0,BAJO
REAL_002,Desconocido,2024,2,2024-02-01,2725.13,1734.31,340.88,2075.2,53,20584.32,9892.72,0.238495,2.080755,BAJO,0.2766,7674.0,3899.0,1009.0,4908.0,153,20979.0,9933.0,2766.0,0.360438,2.112051,BAJO,0.2192,1,0,BAJO
REAL_003,Desconocido,2024,3,2024-03-01,3594.38,1845.11,788.32,2633.43,70,16426.16,5900.7,0.267348,2.783765,BAJO,0.1891,6341.0,3808.0,1367.0,5175.0,121,16329.0,6053.0,1166.0,0.183883,2.697671,BAJO,0.2386,1,0,BAJO
REAL_004,Desconocido,2024,4,2024-04-01,5212.97,1250.11,1054.29,2304.4,94,27528.73,19387.8,0.557949,1.4199,BAJO,0.3328,10017.0,3686.0,1978.0,5664.0,202,29413.0,19181.0,4353.0,0.434561,1.533445,BAJO,0.3256,1,0,BAJO
REAL_005,Desconocido,2024,5,2024-05-01,4937.17,1508.4,1954.33,3462.73,96,19282.04,7819.27,0.29864,2.465963,BAJO,0.1991,8929.0,3893.0,3414.0,7307.0,183,19597.0,7799.0,1622.0,0.181655,2.512758,BAJO,0.2543,1,0,BAJO
REAL_006,Desconocido,2024,6,2024-06-01,3767.97,2304.06,1080.7,3384.76,75,11428.18,4867.7,0.101701,2.347758,BAJO,0.3206,5584.0,4021.0,1547.0,5568.0,110,11798.0,4780.0,16.0,0.002865,2.468201,BAJO,0.3743,1,0,BAJO
REAL_007,Desconocido,2024,6,2024-06-01,2138.69,1184.89,116.17,1301.06,1602,97.7,101.03,0.391658,0.967086,MEDIO,0.4864,4000.0,2000.0,200.0,2200.0,3000,100.0,100.0,1800.0,0.45,1.0,MEDIO,0.4637,1,0,BAJO
REAL_008,Desconocido,2024,7,2024-07-01,3893.05,2007.45,1005.65,3013.1,76,16399.21,6333.46,0.226031,2.589297,BAJO,0.2232,7960.0,4000.0,2184.0,6184.0,152,16436.0,6346.0,1776.0,0.223116,2.589978,BAJO,0.2247,1,0,BAJO
REAL_009,Desconocido,2024,8,2024-08-01,3141.18,1713.01,2033.06,3746.07,62,11562.01,4783.41,-0.192568,2.417107,MEDIO,0.4938,5769.0,3626.0,3428.0,7054.0,119,12501.0,4583.0,-1285.0,-0.222742,2.727689,MEDIO,0.4817,0,0,ALTO
REAL_010,Desconocido,2024,9,2024-09-01,4549.92,2100.02,630.61,2730.63,88,15962.23,5039.97,0.39985,3.167128,BAJO,0.1207,7505.0,3709.0,1156.0,4865.0,149,15587.0,5035.0,2640.0,0.351765,3.09573,BAJO,0.1392,1,0,BAJO
REAL_011,Desconocido,2024,10,2024-10-01,4842.4,2311.36,1632.99,3944.35,79,25403.4,3519.22,0.185455,7.218476,BAJO,0.1801,9999.0,3752.0,3344.0,7096.0,166,26042.0,3585.0,2903.0,0.290329,7.264156,BAJO,0.1263,1,0,BAJO
REAL_012,Desconocido,2024,10,2024-10-01,1218.98,672.43,59.76,732.2,883,298.85,209.04,0.399334,1.429668,BAJO,0.3651,2000.0,1200.0,100.0,1300.0,1500,300.0,200.0,700.0,0.35,1.5,BAJO,0.3613,1,0,BAJO
REAL_013,Desconocido,2024,11,2024-11-01,3485.15,2329.66,1754.81,4084.46,71,16068.1,8323.19,-0.171962,1.930521,MEDIO,0.5556,7000.0,4213.0,3753.0,7966.0,141,15985.0,8054.0,-966.0,-0.138,1.984728,MEDIO,0.5276,0,0,ALTO
REAL_014,Desconocido,2024,12,2024-12-01,3556.87,1480.62,506.78,1987.4,1634,449.62,1235.04,0.441251,0.36405,MEDIO,0.5317,7000.0,3000.0,1000.0,4000.0,3245,467.0,1245.0,3000.0,0.428571,0.3751,MEDIO,0.5345,1,0,BAJO
REAL_015,Desconocido,2024,3,2024-03-01,2309.83,2972.67,600.33,3573.01,45,27883.86,16788.02,-0.546869,1.660938,ALTO,0.7159,6346.0,4042.0,1587.0,5629.0,127,28389.0,17176.0,717.0,0.112985,1.65283,MEDIO,0.4417,1,0,MEDIO
REAL_016,Desconocido,2024,4,2024-04-01,2974.8,2305.28,853.04,3158.32,73,22130.12,18610.67,-0.06169,1.189109,ALTO,0.6872,7939.0,3599.0,2516.0,6115.0,201,21633.0,19138.0,1824.0,0.229752,1.130369,MEDIO,0.5176,1,0,ALTO
REAL_017,Desconocido,2024,4,2024-04-01,3003.93,1796.79,2147.32,3944.11,72,15759.11,12725.9,-0.312983,1.238349,ALTO,0.7918,5625.0,3012.0,3772.0,6784.0,139,16156.0,12997.0,-1159.0,-0.206044,1.243056,ALTO,0.751,0,0,MEDIO
REAL_018,Desconocido,2024,12,2024-12-01,2767.01,2281.94,1647.27,3929.21,98,17720.6,6726.48,-0.420019,2.634452,MEDIO,0.5457,6061.0,3453.0,3538.0,6991.0,223,17052.0,6949.0,-930.0,-0.15344,2.453878,MEDIO,0.4709,0,0,BAJO
REAL_019,Desconocido,2024,2,2024-02-01,5323.26,2019.59,949.17,2968.76,72,20686.96,8087.46,0.442305,2.557906,BAJO,0.1423,11334.0,3975.0,2393.0,6368.0,157,21958.0,7839.0,4966.0,0.438151,2.801123,BAJO,0.1265,1,0,BAJO
REAL_020,Desconocido,2024,8,2024-08-01,4735.36,1865.56,362.86,2228.42,53,25924.28,16095.13,0.529408,1.610691,BAJO,0.2839,10821.0,3736.0,897.0,4633.0,120,26487.0,15523.0,6188.0,0.571851,1.706307,BAJO,0.2523,1,0,MEDIO
REAL_021,Desconocido,2024,8,2024-08-01,4622.15,1772.39,783.81,2556.2,68,26794.31,18519.69,0.446967,1.446801,BAJO,0.3471,11581.0,3264.0,2279.0,5543.0,163,27962.0,19338.0,6038.0,0.521371,1.445961,BAJO,0.3314,1,0,MEDIO
REAL_022,Desconocido,2024,6,2024-06-01,2456.83,2599.51,755.38,3354.89,89,24897.9,15630.14,-0.365536,1.592942,ALTO,0.7052,5084.0,3853.0,1551.0,5404.0,172,26060.0,15223.0,-320.0,-0.062943,1.711883,MEDIO,0.5431,0,0,MEDIO
REAL_023,Desconocido,2024,10,2024-10-01,3323.35,1739.58,2061.98,3801.56,55,19140.4,14334.71,-0.143895,1.335248,ALTO,0.6946,6952.0,3735.0,3714.0,7449.0,105,19599.0,14234.0,-497.0,-0.07149,1.376914,ALTO,0.6407,0,0,MEDIO
REAL_024,Desconocido,2024,3,2024-03-01,5653.46,1377.37,1624.34,3001.71,88,27878.37,7132.15,0.469049,3.908831,BAJO,0.0858,10143.0,3363.0,2910.0,6273.0,161,29314.0,6711.0,3870.0,0.381544,4.368052,BAJO,0.1043,1,0,BAJO
REAL_025,Desconocido,2024,1,2024-01-01,7387.83,2184.19,1147.42,3331.61,79,20563.26,6120.0,0.549041,3.360009,BAJO,0.0813,11372.0,4091.0,1731.0,5822.0,122,20697.0,6169.0,5550.0,0.488041,3.355001,BAJO,0.0926,1,0,BAJO
REAL_026,Desconocido,2024,6,2024-06-01,6521.33,1831.26,1763.93,3595.19,109,28707.02,17461.65,0.448703,1.644004,BAJO,0.2919,10603.0,4183.0,3057.0,7240.0,164,28783.0,17330.0,3363.0,0.317174,1.660877,BAJO,0.33,1,0,MEDIO
REAL_027,Desconocido,2024,10,2024-10-01,3618.22,2039.78,936.58,2976.36,130,20809.98,16935.34,0.177397,1.228791,MEDIO,0.5209,6021.0,3384.0,1560.0,4944.0,215,21131.0,16174.0,1077.0,0.178874,1.30648,MEDIO,0.4983,1,0,MEDIO
REAL_028,Desconocido,2024,11,2024-11-01,2937.46,1485.0,1706.06,3191.06,91,22270.87,14419.31,-0.086334,1.544517,MEDIO,0.6019,6983.0,3809.0,3518.0,7327.0,202,23366.0,14374.0,-344.0,-0.049262,1.625574,MEDIO,0.5567,0,0,MEDIO
REAL_029,Desconocido,2024,5,2024-05-01,4277.47,1939.21,653.85,2593.06,76,20424.22,16742.26,0.393787,1.219921,BAJO,0.4264,9645.0,3654.0,1482.0,5136.0,176,19830.0,16557.0,4509.0,0.467496,1.197681,BAJO,0.4127,1,0,ALTO
E001,Manufactura,2021,1,2021-01-01,3957.47,2045.04,3549.93,5594.97,109,14779.23,4895.01,-0.413773,3.019247,MEDIO,0.5228,8470.85,3965.55,6808.17,10773.71,226,15074.39,4751.98,-2302.86,-0.271858,3.172232,MEDIO,0.4795,0,1,
E001,Manufactura,2021,2,2021-02-01,6052.86,2192.03,2239.39,4431.42,127,12413.12,5382.98,0.267881,2.305992,BAJO,0.2302,10480.87,4009.62,3746.47,7756.1,234,13474.32,5279.35,2724.77,0.259976,2.55227,BAJO,0.2091,1,1,
E001,Manufactura,2021,3,2021-03-01,4135.58,1437.34,1220.16,2657.5,104,16435.96,7221.89,0.357405,2.275854,BAJO,0.1971,7471.04,3190.55,2491.39,5681.94,188,16249.42,7223.91,1789.1,0.239471,2.249392,BAJO,0.2513,1,1,
E001,Manufactura,2021,4,2021-04-01,4731.33,1360.23,1270.23,2630.46,89,12599.74,5227.52,0.444034,2.410269,BAJO,0.1556,6875.45,3040.6,1971.9,5012.5,124,12416.9,4917.3,1862.95,0.270957,2.525148,BAJO,0.2062,1,1,
E001,Manufactura,2021,5,2021-05-01,6377.49,2621.36,1787.0,4408.36,173,15191.52,5755.3,0.308763,2.63957,BAJO,0.1803,10435.93,4866.74,2891.52,7758.26,283,15226.75,5840.14,2677.67,0.256582,2.60726,BAJO,0.2063,1,1,
E001,Manufactura,2021,6,2021-06-01,4378.83,1040.59,1279.5,2320.08,94,13920.09,5027.97,0.470159,2.768531,BAJO,0.1206,6352.77,2888.31,2316.58,5204.89,143,13632.23,5000.57,1147.87,0.180689,2.726134,BAJO,0.2386,1,1,
E001,Manufactura,2021,7,2021-07-01,5815.73,2649.45,2019.93,4669.38,144,20994.45,10225.97,0.197112,2.053052,BAJO,0.3036,12176.4,5231.76,4241.47,9473.23,316,22128.49,9709.98,2703.17,0.222001,2.278942,BAJO,0.2566,1,1,
E001,Manufactura,2021,8,2021-08-01,4748.44,1785.77,1767.99,3553.75,130,11448.35,4321.61,0.251595,2.649095,BAJO,0.2056,8906.71,3515.42,3113.64,6629.06,219,11229.99,4250.59,2277.65,0.255723,2.641985,BAJO,0.2041,1,1,
E001,Manufactura,2021,9,2021-09-01,4446.19,2237.74,1377.62,3615.36,114,16086.37,6698.44,0.186862,2.401509,BAJO,0.262,8169.47,3675.82,2765.24,6441.07,217,17290.72,6775.35,1728.4,0.211569,2.552003,BAJO,0.234,1,1,
E001,Manufactura,2021,10,2021-10-01,3181.1,1195.19,1026.03,2221.22,79,10680.63,4027.99,0.301744,2.651602,BAJO,0.1823,5306.95,2287.62,1726.75,4014.37,140,10739.11,4011.3,1292.59,0.243565,2.677217,BAJO,0.2076,1,1,
E001,Manufactura,2021,11,2021-11-01,4185.7,1423.9,1283.88,2707.78,105,15414.94,6248.8,0.353088,2.466862,BAJO,0.1776,7140.55,3255.42,2258.31,5513.74,180,14634.15,6384.93,1626.81,0.227827,2.291984,BAJO,0.2519,1,1,
E001,Manufactura,2021,12,2021-12-01,5109.92,2409.04,1797.99,4207.03,96,15783.74,6660.58,0.176694,2.369724,BAJO,0.2713,8695.37,3770.27,3029.86,6800.12,165,16931.42,6710.15,1895.25,0.217961,2.523257,BAJO,0.233,1,1,
E001,Manufactura,2022,1,2022-01-01,5152.83,2614.06,2010.99,4625.06,154,22773.36,8735.22,0.102423,2.607073,BAJO,0.2957,9544.66,4439.26,4227.07,8666.33,271,23110.52,8732.44,878.33,0.092024,2.646513,BAJO,0.2996,1,1,
E001,Manufactura,2022,2,2022-02-01,6476.51,3714.95,2157.18,5872.12,155,27876.23,9959.82,0.09332,2.798869,BAJO,0.2888,12349.22,5834.03,4339.05,10173.08,322,28656.05,9735.31,2176.14,0.176217,2.943515,BAJO,0.2292,1,1,
E001,Manufactura,2022,3,2022-03-01,3961.99,1839.81,1294.87,3134.69,91,11670.86,4274.98,0.208811,2.730038,BAJO,0.2224,8043.21,3699.56,2594.28,6293.84,180,11425.77,4211.59,1749.38,0.217497,2.712934,BAJO,0.2188,1,1,
E001,Manufactura,2022,4,2022-04-01,4819.35,2772.97,1497.68,4270.65,120,17579.47,6014.32,0.113853,2.922937,BAJO,0.2688,10328.39,4454.71,3466.78,7921.49,262,18251.95,5777.8,2406.9,0.233037,3.158976,BAJO,0.189,1,1,
E001,Manufactura,2022,5,2022-05-01,4636.8,2006.79,1964.0,3970.79,121,12122.92,5824.56,0.143636,2.081346,BAJO,0.3306,9871.72,4242.35,3825.06,8067.42,256,12760.1,5724.64,1804.3,0.182775,2.22898,BAJO,0.285,1,1,
E001,Manufactura,2022,6,2022-06-01,3148.83,1200.14,1133.22,2333.36,61,9576.94,4694.75,0.258974,2.039927,BAJO,0.2734,4935.6,2026.11,1675.22,3701.33,96,9553.02,4355.0,1234.27,0.250075,2.193578,BAJO,0.2535,1,1,
E001,Manufactura,2022,7,2022-07-01,6627.51,3399.74,1912.77,5312.51,194,15829.79,7081.57,0.198415,2.235349,BAJO,0.2752,11804.3,4712.17,3598.14,8310.31,351,16513.56,7530.0,3493.99,0.295993,2.193038,BAJO,0.2323,1,1,
E001,Manufactura,2022,8,2022-08-01,4200.62,1633.27,1024.56,2657.82,89,17730.02,7268.37,0.367279,2.43934,BAJO,0.1753,7635.34,2943.25,2038.91,4982.16,174,18044.07,7057.97,2653.18,0.347487,2.556554,BAJO,0.1716,1,1,
E001,Manufactura,2022,9,2022-09-01,3153.79,1519.22,1026.24,2545.46,128,16660.07,5612.65,0.192888,2.968309,BAJO,0.2184,6780.58,2918.36,2400.61,5318.97,274,16844.36,5622.55,1461.61,0.215558,2.995857,BAJO,0.2046,1,1,
E001,Manufactura,2022,10,2022-10-01,2975.52,1559.71,1048.91,2608.62,84,9143.86,3187.73,0.123305,2.868457,BAJO,0.2655,5809.42,2615.13,1935.24,4550.38,170,9225.12,3183.61,1259.05,0.216725,2.897687,BAJO,0.2086,1,1,
E001,Manufactura,2022,11,2022-11-01,4151.47,2110.89,1573.96,3684.86,98,11279.84,4266.29,0.112397,2.643944,BAJO,0.2865,7315.88,3032.62,2876.75,5909.36,181,12312.57,4151.18,1406.51,0.192255,2.966037,BAJO,0.2189,1,1,
E001,Manufactura,2022,12,2022-12-01,5332.02,944.37,1708.8,2653.17,204,11224.16,4535.19,0.502408,2.474902,BAJO,0.1362,7923.38,3097.65,2480.06,5577.71,310,11313.32,4373.53,2345.67,0.296044,2.586771,BAJO,0.1897,1,1,
E001,Manufactura,2023,1,2023-01-01,4924.93,2773.35,1310.86,4084.22,140,29475.57,13126.66,0.170706,2.245474,BAJO,0.2899,13001.95,5519.5,4514.57,10034.07,361,29830.47,12715.21,2967.88,0.228264,2.346047,BAJO,0.2453,1,1,
E001,Manufactura,2023,2,2023-02-01,5148.05,3838.41,1666.69,5505.1,126,23547.62,10965.83,-0.069356,2.147363,BAJO,0.4601,14111.47,6236.78,5039.88,11276.67,368,23771.58,10178.16,2834.8,0.200886,2.335548,BAJO,0.2613,1,1,
E001,Manufactura,2023,3,2023-03-01,4978.56,2380.38,1570.83,3951.21,81,13681.12,6092.39,0.206355,2.245607,BAJO,0.2694,8792.87,3694.08,2795.01,6489.1,144,14681.81,5977.21,2303.77,0.262005,2.456299,BAJO,0.2167,1,1,
E001,Manufactura,2023,4,2023-04-01,4408.38,2247.81,1372.17,3619.98,164,21641.07,7048.56,0.178841,3.070283,BAJO,0.2222,8917.46,3961.96,3035.4,6997.36,332,21774.63,7312.82,1920.1,0.215319,2.977597,BAJO,0.2055,1,1,
E001,Manufactura,2023,5,2023-05-01,6365.85,3337.28,2094.5,5431.78,150,18182.31,6398.92,0.146732,2.841467,BAJO,0.2522,13796.27,6146.74,4530.15,10676.89,358,17863.84,6030.81,3119.39,0.226104,2.962094,BAJO,0.2005,1,1,
E001,Manufactura,2023,6,2023-06-01,3825.04,1629.57,1424.71,3054.28,102,9522.72,4195.73,0.201502,2.269622,BAJO,0.269,5757.71,2828.26,2126.96,4955.22,164,10229.19,4084.99,802.49,0.139377,2.50409,BAJO,0.2806,1,1,
E001,Manufactura,2023,7,2023-07-01,4812.59,1732.6,1297.37,3029.97,92,18223.7,8439.4,0.370408,2.15936,BAJO,0.2085,8330.92,3486.64,2073.04,5559.69,158,18823.37,7931.65,2771.24,0.332645,2.373196,BAJO,0.1947,1,1,
E001,Manufactura,2023,8,2023-08-01,5056.63,1948.59,1621.51,3570.11,131,17029.2,6563.13,0.293975,2.594677,BAJO,0.19,9773.64,4821.22,3298.18,8119.4,240,18668.53,6470.74,1654.24,0.169255,2.885066,BAJO,0.2362,1,1,
E001,Manufactura,2023,9,2023-09-01,4604.46,2078.55,1175.27,3253.82,107,18861.05,7403.97,0.293332,2.547423,BAJO,0.1941,7743.33,3773.32,2238.32,6011.64,186,19898.79,7335.09,1731.69,0.223637,2.712824,BAJO,0.2155,1,1,
E001,Manufactura,2023,10,2023-10-01,2798.27,1690.56,816.46,2507.03,104,6811.58,2989.01,0.10408,2.278875,BAJO,0.3273,5437.44,2382.24,1620.78,4003.02,194,7403.28,3082.95,1434.43,0.263805,2.401365,BAJO,0.2214,1,1,
E001,Manufactura,2023,11,2023-11-01,3502.8,1071.46,1295.01,2366.47,134,8411.04,4355.46,0.324407,1.931148,BAJO,0.2649,7714.59,3175.88,2941.51,6117.39,287,8900.05,4031.85,1597.2,0.207037,2.207434,BAJO,0.2742,1,1,
E001,Manufactura,2023,12,2023-12-01,3137.42,1475.84,777.71,2253.55,71,13943.87,5653.65,0.281719,2.466347,BAJO,0.2066,5837.79,2623.92,1649.09,4273.01,138,14389.42,5776.56,1564.78,0.268043,2.491001,BAJO,0.2106,1,1,
E001,Manufactura,2024,1,2024-01-01,3961.07,2051.67,1494.72,3546.39,91,14244.67,5790.06,0.10469,2.460194,BAJO,0.3069,8503.86,3497.92,3071.85,6569.76,184,14541.14,5930.06,1934.09,0.227437,2.452108,BAJO,0.2345,1,1,
E001,Manufactura,2024,2,2024-02-01,4712.81,1485.43,1769.95,3255.38,137,14967.88,5434.72,0.309248,2.754124,BAJO,0.1723,8199.69,3529.75,3039.16,6568.91,238,15622.26,5269.57,1630.79,0.198884,2.964615,BAJO,0.2152,1,1,
E001,Manufactura,2024,3,2024-03-01,3191.05,1961.43,1111.19,3072.62,88,12260.76,4886.42,0.037114,2.509148,BAJO,0.3475,8939.99,3916.31,3061.79,6978.1,243,12480.95,4888.1,1961.89,0.219451,2.553335,BAJO,0.2296,1,1,
E001,Manufactura,2024,4,2024-04-01,5076.29,2621.16,1446.11,4067.27,145,13705.54,5224.39,0.198772,2.623378,BAJO,0.2354,9367.31,4794.38,2622.52,7416.9,274,13992.54,5079.66,1950.42,0.208215,2.754624,BAJO,0.2212,1,1,
E001,Manufactura,2024,5,2024-05-01,6626.0,2472.46,2606.16,5078.62,107,19986.81,9703.78,0.233531,2.059693,BAJO,0.2827,12224.5,4725.12,4506.09,9231.21,188,20638.34,9580.13,2993.29,0.24486,2.154285,BAJO,0.2619,1,1,
E001,Manufactura,2024,6,2024-06-01,3365.95,1189.66,946.69,2136.35,103,9311.05,2774.27,0.365305,3.356219,BAJO,0.126,5159.74,2269.5,1447.03,3716.52,153,9371.96,2738.18,1443.21,0.279707,3.42269,BAJO,0.1584,1,1,
E001,Manufactura,2024,7,2024-07-01,3635.33,1469.82,1213.8,2683.62,90,10314.22,4896.9,0.261793,2.106273,BAJO,0.2609,6445.19,2938.82,2235.34,5174.16,175,10698.91,4983.98,1271.03,0.197205,2.146658,BAJO,0.2884,1,1,
