epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.97,1.31461,2.16583,1.49085,0.45957,0.51897,0.44475,0.24468,1.59813,1.93895,1.74626,0.000302106,0.000302106,0.000302106
2,330.843,1.37527,1.70783,1.5125,0.70281,0.48368,0.51252,0.29829,1.47822,2.04525,1.69283,0.000596548,0.000596548,0.000596548
3,476.542,1.40062,1.72245,1.54292,0.59216,0.53275,0.54678,0.33053,1.49166,1.69287,1.65478,0.00088242,0.00088242,0.00088242
4,619.023,1.35201,1.63851,1.50328,0.63754,0.55848,0.56786,0.3512,1.42514,1.64084,1.58229,0.000870432,0.000870432,0.000870432
5,761.345,1.31326,1.56352,1.47961,0.70226,0.56254,0.61898,0.38402,1.35425,1.48976,1.52503,0.000857577,0.000857577,0.000857577
6,903.26,1.26168,1.49306,1.44838,0.68233,0.58789,0.61095,0.37,1.37271,1.549,1.5564,0.000844721,0.000844721,0.000844721
7,1046.21,1.2346,1.42347,1.42276,0.70209,0.60508,0.65389,0.41347,1.28681,1.36414,1.47796,0.000831865,0.000831865,0.000831865
8,1185.09,1.20263,1.3699,1.39975,0.75259,0.60565,0.67152,0.44459,1.21074,1.35784,1.44492,0.000819009,0.000819009,0.000819009
9,1326.02,1.17404,1.31233,1.37805,0.77226,0.63905,0.71219,0.47717,1.17213,1.19992,1.39147,0.000806153,0.000806153,0.000806153
10,1468.19,1.15706,1.27791,1.36715,0.7356,0.65509,0.70711,0.48292,1.17247,1.18181,1.37531,0.000793297,0.000793297,0.000793297
11,1608.41,1.1389,1.24601,1.35531,0.71666,0.68661,0.72521,0.49746,1.14879,1.16349,1.36928,0.000780441,0.000780441,0.000780441
12,1749.89,1.12475,1.21752,1.34424,0.7615,0.6947,0.74317,0.51472,1.12013,1.08016,1.35795,0.000767586,0.000767586,0.000767586
13,1893.3,1.09795,1.18749,1.324,0.75189,0.67016,0.72274,0.49578,1.14459,1.13583,1.3752,0.00075473,0.00075473,0.00075473
14,2033.84,1.09587,1.17239,1.32472,0.77088,0.68466,0.74451,0.51839,1.1286,1.09514,1.36183,0.000741874,0.000741874,0.000741874
15,2176.54,1.07648,1.1498,1.31677,0.74724,0.69906,0.73867,0.50688,1.12961,1.08055,1.36388,0.000729018,0.000729018,0.000729018
16,2318.45,1.08149,1.13336,1.32177,0.76771,0.66768,0.73911,0.51907,1.10795,1.08084,1.33793,0.000716162,0.000716162,0.000716162
17,2459.82,1.06082,1.1136,1.30584,0.74852,0.70852,0.75029,0.52747,1.09142,1.04459,1.33118,0.000703306,0.000703306,0.000703306
18,2601.4,1.0538,1.08552,1.29927,0.75645,0.71181,0.75687,0.53946,1.05843,1.03098,1.28984,0.00069045,0.00069045,0.00069045
19,2741.38,1.04445,1.07481,1.29128,0.75421,0.73511,0.76836,0.55048,1.04027,0.99225,1.29671,0.000677595,0.000677595,0.000677595
20,2883.12,1.026,1.04032,1.27731,0.75731,0.73718,0.77383,0.5572,1.04818,0.9613,1.28431,0.000664739,0.000664739,0.000664739
21,3024.12,1.03435,1.04769,1.28309,0.8084,0.7168,0.77936,0.56484,1.02855,0.97179,1.27653,0.000651883,0.000651883,0.000651883
22,3166.92,1.01652,1.02964,1.26629,0.76995,0.73577,0.77847,0.55887,1.03548,0.95891,1.28771,0.000639027,0.000639027,0.000639027
23,3311.64,1.00191,1.01351,1.26543,0.75461,0.75995,0.79474,0.5736,1.02648,0.92739,1.26785,0.000626171,0.000626171,0.000626171
24,3452,0.98614,0.98209,1.25334,0.75439,0.74288,0.78193,0.57497,1.01106,0.94177,1.26412,0.000613315,0.000613315,0.000613315
25,3590.14,0.98602,0.98674,1.25754,0.75164,0.76176,0.78849,0.57896,1.0015,0.93155,1.25475,0.000600459,0.000600459,0.000600459
26,3730.28,0.98177,0.96752,1.24104,0.78394,0.75033,0.79552,0.57957,1.00081,0.91079,1.24798,0.000587604,0.000587604,0.000587604
27,3871.16,0.97147,0.94676,1.23829,0.79143,0.75603,0.79593,0.58542,0.99752,0.91055,1.25856,0.000574748,0.000574748,0.000574748
28,4011.83,0.96646,0.94165,1.23017,0.80432,0.73737,0.79768,0.58775,0.98398,0.89739,1.24208,0.000561892,0.000561892,0.000561892
29,4151.54,0.9508,0.93349,1.23468,0.83125,0.72793,0.80623,0.59673,0.98735,0.86769,1.25411,0.000549036,0.000549036,0.000549036
30,4292.89,0.95253,0.92237,1.23047,0.79318,0.76223,0.80419,0.59293,0.98161,0.88493,1.24711,0.00053618,0.00053618,0.00053618
31,4433.91,0.94307,0.91453,1.22491,0.78521,0.77222,0.8106,0.60305,0.96391,0.86352,1.22757,0.000523324,0.000523324,0.000523324
32,4577.36,0.93267,0.89428,1.21098,0.79075,0.76346,0.81476,0.60626,0.9602,0.8473,1.22309,0.000510468,0.000510468,0.000510468
33,4723.67,0.92379,0.87193,1.20046,0.79749,0.77426,0.80951,0.60306,0.96071,0.85701,1.22112,0.000497613,0.000497613,0.000497613
34,4866.79,0.92146,0.8705,1.20655,0.77952,0.77468,0.81151,0.60016,0.96705,0.84071,1.23309,0.000484757,0.000484757,0.000484757
35,5009.47,0.90417,0.85513,1.1966,0.80551,0.76479,0.8178,0.61121,0.95845,0.83108,1.23117,0.000471901,0.000471901,0.000471901
36,5151.69,0.91259,0.85519,1.19884,0.83795,0.75897,0.82382,0.61802,0.94561,0.80787,1.20723,0.000459045,0.000459045,0.000459045
37,5293.61,0.89844,0.84928,1.19102,0.79941,0.79823,0.83773,0.62938,0.9302,0.78873,1.19777,0.000446189,0.000446189,0.000446189
38,5441.45,0.90253,0.82588,1.18737,0.80589,0.79631,0.83365,0.62906,0.93159,0.79648,1.19682,0.000433333,0.000433333,0.000433333
39,5585.42,0.89239,0.82809,1.18725,0.78414,0.81258,0.8324,0.6285,0.92298,0.79941,1.19031,0.000420477,0.000420477,0.000420477
40,5731.05,0.8819,0.81245,1.18382,0.84547,0.77648,0.83754,0.62989,0.93822,0.78817,1.20378,0.000407622,0.000407622,0.000407622
41,5874.5,0.8802,0.79316,1.17826,0.79634,0.80773,0.83955,0.63336,0.93645,0.78211,1.2047,0.000394766,0.000394766,0.000394766
42,6018.29,0.87113,0.78231,1.17054,0.80054,0.80158,0.84133,0.63689,0.92033,0.76812,1.1919,0.00038191,0.00038191,0.00038191
43,6160.96,0.86839,0.77985,1.16531,0.81401,0.80799,0.84504,0.64495,0.90671,0.75976,1.18421,0.000369054,0.000369054,0.000369054
44,6303.54,0.85563,0.76649,1.16166,0.79016,0.81298,0.84205,0.63913,0.91451,0.76372,1.18294,0.000356198,0.000356198,0.000356198
45,6447.01,0.85822,0.74949,1.1565,0.81969,0.80266,0.84517,0.6473,0.90409,0.75044,1.1736,0.000343342,0.000343342,0.000343342
46,6589.34,0.84512,0.74986,1.15056,0.82958,0.80056,0.84574,0.64923,0.89911,0.7392,1.17393,0.000330486,0.000330486,0.000330486
47,6733.37,0.83629,0.73325,1.14618,0.8094,0.81948,0.85154,0.65592,0.87905,0.72553,1.15492,0.000317631,0.000317631,0.000317631
48,6874.12,0.82938,0.72543,1.14184,0.82926,0.81002,0.85295,0.65714,0.88849,0.72349,1.1664,0.000304775,0.000304775,0.000304775
49,7016.56,0.83952,0.7277,1.14896,0.82787,0.81594,0.8588,0.66075,0.89537,0.70983,1.16773,0.000291919,0.000291919,0.000291919
50,7156.26,0.82701,0.71809,1.13946,0.82109,0.81957,0.85383,0.65775,0.88358,0.72008,1.1539,0.000279063,0.000279063,0.000279063
51,7297.37,0.81918,0.70063,1.13544,0.81736,0.81379,0.85443,0.65961,0.89464,0.71944,1.16388,0.000266207,0.000266207,0.000266207
52,7435.53,0.80534,0.68643,1.1273,0.83902,0.83295,0.86538,0.67106,0.87578,0.69043,1.15161,0.000253351,0.000253351,0.000253351
53,7573.77,0.80793,0.6836,1.12991,0.82097,0.83397,0.86046,0.66576,0.88478,0.69176,1.15963,0.000240495,0.000240495,0.000240495
54,7713.59,0.797,0.67288,1.11976,0.81409,0.82828,0.85795,0.66623,0.87788,0.69454,1.15527,0.00022764,0.00022764,0.00022764
55,7852.8,0.79214,0.67134,1.11925,0.84524,0.8176,0.86021,0.66462,0.8875,0.68458,1.16476,0.000214784,0.000214784,0.000214784
56,7995.69,0.79239,0.65944,1.11538,0.83783,0.8219,0.86414,0.6722,0.87317,0.68122,1.14514,0.000201928,0.000201928,0.000201928
57,8139.89,0.77932,0.64664,1.11444,0.86345,0.81758,0.86974,0.67665,0.87833,0.67072,1.14879,0.000189072,0.000189072,0.000189072
58,8280.27,0.78419,0.648,1.10912,0.84961,0.8181,0.86396,0.67629,0.87435,0.67805,1.1446,0.000176216,0.000176216,0.000176216
59,8420.34,0.77287,0.63188,1.10214,0.85409,0.83003,0.87095,0.68476,0.86575,0.66566,1.13814,0.00016336,0.00016336,0.00016336
60,8562.47,0.76746,0.63283,1.1005,0.87189,0.82652,0.86962,0.68099,0.86277,0.6618,1.1357,0.000150504,0.000150504,0.000150504
61,8707.45,0.7043,0.52525,1.06536,0.86455,0.82959,0.87326,0.68387,0.85444,0.65574,1.13769,0.000137649,0.000137649,0.000137649
62,8847.37,0.68956,0.50451,1.05402,0.84947,0.83752,0.87254,0.6858,0.85847,0.65227,1.13602,0.000124793,0.000124793,0.000124793
63,8987.69,0.67905,0.49046,1.04974,0.88099,0.81882,0.87386,0.69202,0.84749,0.64153,1.12984,0.000111937,0.000111937,0.000111937
64,9128.32,0.6699,0.48286,1.0454,0.86475,0.84039,0.87481,0.69253,0.85106,0.64227,1.13089,9.9081e-05,9.9081e-05,9.9081e-05
65,9269.78,0.66761,0.47352,1.0406,0.87032,0.83052,0.87721,0.6947,0.84357,0.64479,1.12623,8.62251e-05,8.62251e-05,8.62251e-05
66,9410,0.66195,0.46728,1.03641,0.86388,0.84127,0.87853,0.69391,0.84687,0.63583,1.12667,7.33693e-05,7.33693e-05,7.33693e-05
67,9551.46,0.65528,0.45893,1.032,0.86557,0.84278,0.87846,0.70046,0.83665,0.63633,1.11973,6.05134e-05,6.05134e-05,6.05134e-05
68,9693.11,0.64644,0.444,1.02805,0.86795,0.84062,0.87882,0.6993,0.84066,0.63229,1.12586,4.76576e-05,4.76576e-05,4.76576e-05
69,9834.07,0.64375,0.44365,1.02076,0.86917,0.84496,0.87869,0.69917,0.84116,0.62765,1.12697,3.48017e-05,3.48017e-05,3.48017e-05
70,9973.09,0.63431,0.43644,1.02271,0.87397,0.83778,0.8785,0.70148,0.84026,0.62748,1.12657,2.19459e-05,2.19459e-05,2.19459e-05
